,source_id,experiment_id,member_id,variable_id,file_name
59,MRI-ESM2-0,abrupt-4xCO2,r11i1p1f1,rlut,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r11i1p1f1_rlut.npy
60,GISS-E2-2-G,piControl,r1i1p1f1,mlotst,pangeo_data/GISS-E2-2-G_piControl_r1i1p1f1_mlotst.npy
61,GISS-E2-1-G,piControl,r1i1p1f2,tos,pangeo_data/GISS-E2-1-G_piControl_r1i1p1f2_tos.npy
62,MRI-ESM2-0,abrupt-4xCO2,r6i1p1f1,ts,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r6i1p1f1_ts.npy
63,CNRM-CM6-1,abrupt-4xCO2,r1i1p1f2,rsdt,pangeo_data/CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_rsdt.npy
64,UKESM1-0-LL,1pctCO2,r4i1p1f2,tos,pangeo_data/UKESM1-0-LL_1pctCO2_r4i1p1f2_tos.npy
65,FGOALS-g3,piControl,r1i1p1f1,ts,pangeo_data/FGOALS-g3_piControl_r1i1p1f1_ts.npy
66,MRI-ESM2-0,abrupt-4xCO2,r3i1p1f1,rsut,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r3i1p1f1_rsut.npy
67,CNRM-CM6-1,abrupt-4xCO2,r1i1p1f2,tos,pangeo_data/CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_tos.npy
68,CNRM-ESM2-1,abrupt-4xCO2,r2i1p1f2,tos,pangeo_data/CNRM-ESM2-1_abrupt-4xCO2_r2i1p1f2_tos.npy
69,IPSL-CM6A-LR,abrupt-4xCO2,r12i1p1f1,tos,pangeo_data/IPSL-CM6A-LR_abrupt-4xCO2_r12i1p1f1_tos.npy
70,CanESM5,piControl,r1i1p1f1,tos,pangeo_data/CanESM5_piControl_r1i1p1f1_tos.npy
71,CNRM-ESM2-1,abrupt-4xCO2,r3i1p1f2,rsdt,pangeo_data/CNRM-ESM2-1_abrupt-4xCO2_r3i1p1f2_rsdt.npy
